Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic164206,615.3,1383,615.3,319718.8,0.62,0.45,0.09,27973,7466.45,0.67,0.17,5328.65,1
Topic164215,434.33,894,434.33,5590.77,0.37,0.29,0.17,10464,5649.6,0.56,0.15,93.18,1
Topic164217,374.0,894,374.0,5274.45,0.37,0.29,0.17,10464,4626.53,0.6,0.15,87.91,1
Topic164222,589.53,1383,589.53,29588.4,0.62,0.45,0.09,27973,8149.67,0.65,0.16,493.14,1
Topic164225,463.38,758,463.38,88023.93,0.41,0.25,0.04,12517,6052.65,0.68,0.17,1467.07,1
Topic164494,601.0,1828,601.0,69264.88,0.77,0.59,0.41,61399,9301.83,0.78,0.17,1154.41,1
Topic164495,532.17,1828,532.17,31116.88,0.77,0.59,0.41,61399,7847.32,0.75,0.16,518.61,1
Topic164509,540.3,1828,540.3,11690.18,0.77,0.59,0.41,61399,9674.67,0.71,0.16,194.84,1
Topic164520,696.23,248,696.23,37080.35,0.09,0.08,0.02,1766,12120.17,0.81,0.16,618.01,1
Topic164536,490.53,1828,490.53,10544.78,0.77,0.59,0.41,61399,10081.53,0.72,0.16,175.75,1
Topic164597,497.65,481,497.65,259303.93,0.22,0.16,0.03,11606,5840.8,0.61,0.17,4321.73,1
Topic164598,482.97,758,482.97,192645.98,0.41,0.25,0.04,12517,5559.43,0.63,0.17,3210.77,1
Topic164599,499.33,758,499.33,128743.15,0.41,0.25,0.04,12517,5763.72,0.69,0.17,2145.72,1
Topic164601,659.77,1383,659.77,43412.95,0.62,0.45,0.09,27973,8334.18,0.75,0.16,723.55,1
Topic164604,581.52,809,581.52,36377.25,0.33,0.26,0.17,14068,7003.82,0.73,0.16,606.29,1
Topic164606,537.13,758,537.13,103627.55,0.41,0.25,0.04,12517,6798.82,0.74,0.17,1727.13,1
Topic164611,554.75,248,554.75,8709.28,0.09,0.08,0.02,1766,7366.0,0.68,0.15,145.15,1
Topic164612,621.95,711,621.95,9433.02,0.31,0.23,0.07,9301,9226.0,0.78,0.15,157.22,1
Topic164614,509.05,192,509.05,48472.33,0.08,0.06,0.07,4091,8391.5,0.83,0.15,807.87,1
Topic164615,532.8,758,532.8,58270.63,0.41,0.25,0.04,12517,6526.17,0.65,0.17,971.18,1
Topic164617,457.75,359,457.75,84228.05,0.12,0.12,0.03,5285,4861.17,0.71,0.17,1403.8,1
Topic164619,180.75,523,180.75,38163.17,0.19,0.17,0.12,8892,2351.35,0.27,0.12,636.05,1
Topic164620,621.8,1383,621.8,43359.92,0.62,0.45,0.09,27973,7762.1,0.7,0.17,722.67,1
Topic164622,493.13,894,493.13,3127.08,0.37,0.29,0.17,10464,7387.92,0.79,0.15,52.12,1
Topic164625,431.87,268,431.87,20230.2,0.13,0.09,0.02,2676,5675.52,0.68,0.16,337.17,1
Topic164736,297.7,141,297.7,22636.43,0.09,0.05,0.0,1532,3363.08,0.44,0.18,377.27,1
Topic164737,678.87,546,678.87,4252.95,0.25,0.18,0.03,7150,9921.0,0.64,0.16,70.88,1
Topic164744,622.37,1828,622.37,41551.95,0.77,0.59,0.41,61399,10745.07,0.7,0.16,692.53,1
Topic164746,614.08,1828,614.08,87284.35,0.77,0.59,0.41,61399,10808.97,0.72,0.16,1454.74,1
Topic164748,615.13,1828,615.13,2464.95,0.77,0.59,0.41,61399,9998.87,0.71,0.17,41.08,1
Topic164827,659.45,208,659.45,36845.5,0.08,0.07,0.05,3472,8494.05,0.72,0.15,614.09,1
Topic164828,391.27,548,391.27,20314.32,0.38,0.18,0.02,14510,6517.73,0.31,0.17,338.57,1
Topic164830,527.4,1828,527.4,14173.33,0.77,0.59,0.41,61399,9064.67,0.7,0.16,236.22,1
Topic164831,498.67,944,498.67,163132.87,0.47,0.31,0.06,19394,6089.33,0.58,0.17,2718.88,1
Topic164832,553.87,1193,553.87,9968.4,0.45,0.39,0.42,27505,8326.27,0.62,0.15,166.14,1
Topic164835,456.75,1193,456.75,6072.27,0.45,0.39,0.42,27505,6194.83,0.61,0.14,101.2,1
Topic164837,477.07,1193,477.07,51769.98,0.45,0.39,0.42,27505,5915.0,0.68,0.15,862.83,1
Topic164839,471.3,1828,471.3,61480.77,0.77,0.59,0.41,61399,6205.73,0.73,0.17,1024.68,1
Topic164843,487.48,548,487.48,24325.98,0.38,0.18,0.02,14510,7414.12,0.69,0.18,405.43,1
Topic164844,514.73,1161,514.73,125024.4,0.52,0.38,0.16,17265,5465.6,0.73,0.15,2083.74,1
Topic164851,380.0,944,380.0,228678.85,0.47,0.31,0.06,19394,4468.62,0.75,0.17,3811.31,1
Topic165196,568.47,1383,568.47,22050.72,0.62,0.45,0.09,27973,8597.73,0.71,0.16,367.51,1
Topic165204,395.25,655,395.25,5262.65,0.24,0.21,0.1,9809,5396.55,0.49,0.13,87.71,1
Topic165208,168.77,523,168.77,3327.68,0.19,0.17,0.12,8892,2560.93,0.29,0.14,55.46,1
Topic165530,428.73,809,428.73,131933.67,0.33,0.26,0.17,14068,5740.27,0.57,0.16,2198.89,1
Topic165752,588.5,766,588.5,5302.92,0.32,0.25,0.16,13809,7879.3,0.62,0.14,88.38,1
Topic165836,595.53,1161,595.53,220095.52,0.52,0.38,0.16,17265,10642.12,0.79,0.17,3668.26,1
Topic166114,472.63,359,472.63,41020.22,0.12,0.12,0.03,5285,5348.57,0.64,0.16,683.67,1
Topic166125,429.68,1383,429.68,385559.77,0.62,0.45,0.09,27973,5366.67,0.58,0.18,6426.0,1
Topic168010,609.4,1383,609.4,127638.53,0.62,0.45,0.09,27973,7522.83,0.69,0.16,2127.31,1
Topic168011,401.45,758,401.45,205105.43,0.41,0.25,0.04,12517,4508.35,0.55,0.18,3418.42,1
Topic168014,689.95,1828,689.95,31264.18,0.77,0.59,0.41,61399,10303.95,0.75,0.16,521.07,1
Topic168015,347.73,481,347.73,168024.33,0.22,0.16,0.03,11606,6076.6,0.38,0.16,2800.41,1
Topic217098,554.43,1828,554.43,48978.93,0.77,0.59,0.41,61399,6624.73,0.79,0.17,816.32,1
