Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic164655,490.81,1828,490.81,602737.07,0.77,0.59,0.41,61399,6912.29,0.85,0.18,4336.24,0
Topic165849,308.35,1828,308.35,350402.4,0.77,0.59,0.41,61399,4595.12,0.73,0.18,8760.06,0
Topic164613,500.17,199,500.17,1984290.57,0.07,0.06,0.01,1665,6159.63,0.79,0.19,12801.87,0
Topic164219,237.9,199,237.9,1277352.63,0.07,0.06,0.01,1665,2571.29,0.46,0.19,8240.98,0
Topic164545,393.55,481,393.55,324666.3,0.22,0.16,0.03,11606,6406.88,0.69,0.18,2369.83,0
Topic164853,366.79,67,366.79,2005473.67,0.02,0.02,0.0,323,5244.5,0.78,0.19,20890.35,0
Topic164851,271.85,944,271.85,1815519.43,0.47,0.31,0.06,19394,3053.09,0.79,0.2,12103.46,0
Topic165842,449.77,1083,449.77,877218.18,0.59,0.35,0.04,14956,6170.67,0.73,0.18,9968.39,0
Topic164737,423.67,546,423.67,1925234.62,0.25,0.18,0.03,7150,5802.11,0.85,0.19,7078.07,0
Topic165745,416.22,1828,416.22,635371.18,0.77,0.59,0.41,61399,6553.19,0.78,0.18,8824.6,0
Topic164741,361.32,1828,361.32,1807330.62,0.77,0.59,0.41,61399,6164.36,0.89,0.19,9364.41,0
Topic168009,258.2,1383,258.2,2157181.95,0.62,0.45,0.09,27973,3290.77,0.75,0.2,17827.95,0
Topic164758,287.88,944,287.88,1184547.78,0.47,0.31,0.06,19394,3735.04,0.62,0.19,7135.83,0
Topic166210,448.48,359,448.48,80770.37,0.12,0.12,0.03,5285,5455.02,0.79,0.17,521.1,0
Topic164204,530.86,478,530.86,236830.62,0.19,0.15,0.03,4048,6609.16,0.82,0.16,1315.73,0
Topic165053,543.63,1828,543.63,446989.78,0.77,0.59,0.41,61399,7893.06,0.83,0.18,2511.18,0
Topic164842,370.3,1828,370.3,2042367.13,0.77,0.59,0.41,61399,5454.98,0.78,0.2,17308.2,0
Topic217116,507.43,711,507.43,2278630.75,0.31,0.23,0.07,9301,7328.07,0.84,0.19,49535.45,0
