Topic,F1,F2,F3,F4,Class
Topic164215,3,3,0.16,777.51,1
Topic164217,2,2,0.17,407.59,1
Topic164222,3,4,0.32,1796.96,1
Topic164495,3,5,0.44,1150.06,1
Topic164509,3,5,0.66,785.58,1
Topic164520,2,4,0.4,1548.95,1
Topic164536,1,4,0.67,2835.24,1
Topic164597,1,5,0.23,11704.25,1
Topic164598,3,5,0.26,8158.01,1
Topic164599,1,3,0.14,5365.07,1
Topic164601,3,5,0.19,1942.02,1
Topic164604,4,5,0.36,1520.03,1
Topic164611,1,2,0.07,472.4,1
Topic164612,1,4,0.09,773.03,1
Topic164615,2,3,0.19,7271.51,1
Topic164617,4,5,0.36,3510.28,1
Topic164620,3,5,0.31,1802.62,1
Topic164622,2,4,0.15,153.5,1
Topic164625,1,3,0.09,1022.03,1
Topic164744,1,4,0.52,2465.06,1
Topic164746,2,3,0.62,4945.7,1
Topic164748,2,4,0.46,289.33,1
Topic164827,2,4,0.3,1786.5,1
Topic164828,1,2,0.02,1257.43,1
Topic164830,2,4,0.4,1758.22,1
Topic164832,2,3,0.51,955.25,1
Topic164835,2,2,0.47,285.52,1
Topic164837,2,4,0.46,1761.67,1
Topic164843,5,5,0.44,1298.71,1
Topic164844,2,4,0.46,4648.77,1
Topic165204,1,3,0.06,455.58,1
Topic165208,1,1,0.0,287.37,1
Topic165752,2,3,0.33,4153.53,1
Topic166114,4,5,0.43,1709.18,1
Topic166125,2,4,0.15,16077.57,1
Topic164024,3,4,0.28,2827.84,0
Topic164146,4,6,0.64,6038.47,0
Topic164204,1,2,0.03,1615.09,0
Topic164206,1,4,0.15,13569.79,0
Topic164213,1,5,0.13,32491.53,0
Topic164214,3,5,0.36,6502.08,0
Topic164219,2,5,0.24,13403.21,0
Topic164220,2,2,0.1,1072.0,0
Topic164221,2,5,0.2,7681.68,0
Topic164223,3,5,0.39,15959.87,0
Topic164224,1,4,0.18,21746.4,0
Topic164225,2,4,0.2,5388.34,0
Topic164226,4,4,0.35,47972.45,0
Topic164350,2,3,0.17,1661.16,0
Topic164351,1,3,0.1,3055.3,0
Topic164421,2,2,0.07,114.93,0
Topic164448,2,6,0.49,26203.5,0
Topic164491,3,5,0.3,30049.46,0
Topic164493,3,5,0.58,5093.64,0
Topic164494,3,5,0.5,1606.92,0
Topic164497,4,5,0.51,67689.88,0
Topic164500,4,5,0.43,13787.97,0
Topic164501,4,5,0.49,47769.05,0
Topic164502,4,6,0.6,7121.43,0
Topic164505,2,6,0.61,42487.83,0
Topic164506,5,6,0.56,15872.17,0
Topic164507,2,3,0.28,1900.4,0
Topic164508,3,5,0.46,5387.19,0
Topic164511,2,5,0.4,8880.74,0
Topic164512,4,5,0.55,34994.93,0
Topic164513,2,6,0.54,43997.24,0
Topic164526,4,5,0.65,17850.08,0
Topic164527,2,5,0.73,13730.25,0
Topic164529,3,4,0.7,12536.68,0
Topic164533,4,4,0.66,12672.25,0
