Topic,F1,F2,F3,F4,Class
Topic155445,3,3,0.25,1631.84,1
Topic155517,1,3,0.08,4293.26,1
Topic155518,3,3,0.23,8150.13,1
Topic155519,3,3,0.23,4153.03,1
Topic155522,3,3,0.18,5417.22,1
Topic155524,3,3,0.25,6117.39,1
Topic155525,3,3,0.24,6058.36,1
Topic155527,3,3,0.18,2180.88,1
Topic155532,2,3,0.22,188.72,1
Topic155533,3,3,0.22,669.17,1
Topic155538,3,3,0.21,17955.25,1
Topic155557,2,3,0.16,2772.55,1
Topic155559,3,3,0.24,3137.89,1
Topic155562,3,3,0.11,2979.1,1
Topic155564,3,3,0.23,10979.86,1
Topic155567,3,3,0.21,608.83,1
Topic155575,3,3,0.22,3285.4,1
Topic155343,3,3,0.22,9906.16,0
Topic155347,3,3,0.22,12233.02,0
Topic155360,2,3,0.17,18416.72,0
Topic155363,3,3,0.22,14698.3,0
Topic155365,3,3,0.23,1579.56,0
Topic155371,2,3,0.26,6543.61,0
Topic155387,3,3,0.24,7454.03,0
Topic155389,3,3,0.24,19095.01,0
Topic155397,3,3,0.17,6407.07,0
Topic155403,3,3,0.26,4595.59,0
Topic155404,2,3,0.15,2050.36,0
Topic155416,3,3,0.26,1059.44,0
Topic155437,3,3,0.22,80.11,0
Topic155448,3,3,0.25,1672.38,0
Topic155454,3,3,0.22,16457.09,0
Topic155455,3,3,0.19,209.23,0
Topic155498,3,3,0.24,8155.59,0
