Topic,KV,KF,KFn,GKV,GKF,GKFn,OKV_KF,OKV_KFn,OKF_KFn,elapsed,Class
Topic164215,4,1,4,0.72,,0.7,1,4,1,777.51,1
Topic164217,2,1,2,0.8,,0.76,1,2,1,407.59,1
Topic164222,4,1,4,0.26,0.0,0.27,1,4,1,1796.96,1
Topic164495,4,1,4,0.47,,0.45,1,4,1,1150.06,1
Topic164509,5,3,4,0.68,0.32,0.69,3,4,2,785.58,1
Topic164520,4,1,4,0.57,,0.55,1,4,1,1548.95,1
Topic164536,4,3,2,0.65,0.78,0.05,3,2,1,2835.24,1
Topic164597,4,1,4,0.57,0.0,0.57,1,4,1,11704.25,1
Topic164598,5,1,5,0.65,0.0,0.66,1,5,1,8158.01,1
Topic164599,3,1,3,0.14,0.0,0.14,1,3,1,5365.07,1
Topic164601,4,1,4,0.22,0.0,0.23,1,4,1,1942.02,1
Topic164604,4,2,4,0.57,0.67,0.55,2,4,2,1520.03,1
Topic164611,2,1,2,0.88,,0.87,1,2,1,472.4,1
Topic164612,4,1,4,0.91,,0.9,1,4,1,773.03,1
Topic164615,3,1,3,0.09,0.0,0.1,1,3,1,7271.51,1
Topic164617,5,1,5,0.41,0.0,0.42,1,5,1,3510.28,1
Topic164620,5,1,5,0.7,0.0,0.7,1,5,1,1802.62,1
Topic164622,4,2,4,0.88,0.75,0.9,2,4,2,153.5,1
Topic164625,3,1,3,0.94,,0.94,1,3,1,1022.03,1
Topic164744,3,2,2,0.11,0.33,0.08,2,2,1,2465.06,1
Topic164746,3,1,3,0.31,,0.25,1,3,1,4945.7,1
Topic164748,4,3,3,0.25,0.36,0.14,3,3,2,289.33,1
Topic164827,3,1,3,0.69,,0.65,1,3,1,1786.5,1
Topic164828,2,1,2,0.03,0.0,0.03,1,2,1,1257.43,1
Topic164830,3,3,3,0.39,0.64,0.31,3,3,3,1758.22,1
Topic164832,3,1,3,0.21,,0.18,1,3,1,955.25,1
Topic164835,3,2,3,0.23,0.5,0.2,2,3,2,285.52,1
Topic164837,3,1,3,0.43,,0.4,1,3,1,1761.67,1
Topic164843,5,2,5,0.56,0.37,0.54,2,5,2,1298.71,1
Topic164844,3,1,3,0.45,,0.43,1,3,1,4648.77,1
Topic165204,3,1,3,0.93,,0.92,1,3,1,455.58,1
Topic165208,1,1,1,,,,1,1,1,287.37,1
Topic165752,3,1,3,0.54,,0.52,1,3,1,4153.53,1
Topic166114,4,2,4,0.31,0.17,0.32,2,4,2,1709.18,1
Topic166125,4,1,4,0.51,0.0,0.51,1,4,1,16077.57,1
Topic164024,3,3,3,0.71,0.7,0.71,3,3,3,2827.84,0
Topic164146,6,1,6,0.76,,0.74,1,6,1,6038.47,0
Topic164204,2,2,1,0.96,0.86,,2,1,1,1615.09,0
Topic164206,4,1,4,0.49,0.0,0.5,1,4,1,13569.79,0
Topic164213,5,1,5,0.2,0.0,0.21,1,5,1,32491.53,0
Topic164214,4,3,4,0.25,0.44,0.22,3,4,3,6502.08,0
Topic164219,5,1,5,0.52,0.0,0.52,1,5,1,13403.21,0
Topic164220,2,1,2,0.88,,0.87,1,2,1,1072.0,0
Topic164221,5,1,5,0.52,0.0,0.53,1,5,1,7681.68,0
Topic164223,5,1,5,0.64,0.0,0.65,1,5,1,15959.87,0
Topic164224,3,1,3,0.16,0.0,0.17,1,3,1,21746.4,0
Topic164225,4,1,4,0.18,0.0,0.2,1,4,1,5388.34,0
Topic164226,4,1,4,0.57,0.0,0.58,1,4,1,47972.45,0
Topic164350,3,2,3,0.87,0.83,0.87,2,3,2,1661.16,0
Topic164351,3,2,2,0.94,0.86,0.94,2,2,1,3055.3,0
Topic164421,2,2,2,0.92,0.83,0.95,2,2,2,114.93,0
Topic164448,6,2,6,0.7,0.67,0.67,2,6,2,26203.5,0
Topic164491,4,1,4,0.26,0.0,0.28,1,4,1,30049.46,0
Topic164493,6,1,5,0.73,,0.72,1,5,0,5093.64,0
Topic164494,4,1,4,0.42,,0.39,1,4,1,1606.92,0
Topic164497,4,2,4,0.66,0.67,0.64,2,4,2,67689.88,0
Topic164500,4,2,4,0.34,0.27,0.35,2,4,2,13787.97,0
Topic164501,6,2,6,0.58,0.38,0.58,2,6,2,47769.05,0
Topic164502,6,1,6,0.69,0.0,0.69,1,6,1,7121.43,0
Topic164505,5,2,5,0.44,0.67,0.41,2,5,2,42487.83,0
Topic164506,6,1,6,0.76,,0.75,1,6,1,15872.17,0
Topic164507,3,2,3,0.73,0.6,0.76,2,3,2,1900.4,0
Topic164508,4,2,4,0.34,0.2,0.35,2,4,2,5387.19,0
Topic164511,4,2,4,0.6,0.67,0.59,2,4,2,8880.74,0
Topic164512,5,2,5,0.66,0.25,0.65,2,5,2,34994.93,0
Topic164513,6,3,6,0.66,0.67,0.62,3,6,3,43997.24,0
Topic164526,5,2,5,0.62,0.38,0.63,2,5,2,17850.08,0
Topic164527,5,2,4,0.65,0.25,0.66,2,4,1,13730.25,0
Topic164529,4,2,4,0.75,0.5,0.75,2,4,2,12536.68,0
Topic164533,5,3,5,0.77,0.32,0.77,3,5,3,12672.25,0
