Topic,KV,KF,KFn,GKV,GKF,GKFn,OKV_KF,OKV_KFn,OKF_KFn,elapsed,Class
Topic164737,4,2,4,0.66,0.6,0.67,2,4,2,1943.87,1
Topic164741,5,2,4,0.66,0.58,0.61,2,4,1,11603.82,1
Topic164744,3,2,2,0.62,0.58,0.54,2,2,1,2465.06,1
Topic164746,3,1,3,0.66,0.0,0.66,1,3,1,4945.7,1
Topic164748,5,3,4,0.68,0.49,0.62,3,4,2,289.33,1
Topic164827,4,1,4,0.16,0.0,0.17,1,4,1,1786.5,1
Topic164828,3,1,3,0.13,0.0,0.13,1,3,1,1257.43,1
Topic164830,4,4,3,0.51,0.59,0.37,4,3,3,1758.22,1
Topic164831,4,2,4,0.3,0.38,0.28,2,4,2,12626.38,1
Topic164832,3,1,3,0.08,0.0,0.07,1,3,1,955.25,1
Topic164835,3,2,3,0.08,0.08,0.08,2,3,2,285.52,1
Topic164837,4,1,4,0.14,0.0,0.14,1,4,1,1761.67,1
Topic164838,5,1,5,0.46,0.0,0.47,1,5,1,11017.89,1
Topic164839,4,2,4,0.66,0.46,0.67,2,4,2,2561.7,1
Topic164843,5,2,5,0.39,0.08,0.4,2,5,2,1298.71,1
Topic164844,4,1,4,0.2,0.0,0.21,1,4,1,4648.77,1
Topic164851,6,1,6,0.58,0.0,0.59,1,6,1,4306.98,1
Topic164853,5,2,5,0.55,0.26,0.56,2,5,2,15319.11,1
Topic164854,6,1,6,0.48,0.0,0.49,1,6,1,8433.32,1
Topic165196,5,1,5,0.46,0.0,0.47,1,5,1,2960.7,1
Topic165204,3,1,3,0.05,0.0,0.05,1,3,1,455.58,1
Topic165208,1,1,1,0.0,0.0,0.0,1,1,1,287.37,1
Topic165513,3,1,3,0.62,0.0,0.65,1,3,1,4099.64,1
Topic165530,5,1,5,0.66,0.0,0.66,1,5,1,8663.46,1
Topic164024,4,3,4,0.36,0.42,0.35,3,4,3,2827.84,0
Topic164146,6,1,6,0.6,0.0,0.61,1,6,1,6038.47,0
Topic164204,2,2,1,0.01,0.04,0.0,2,1,1,1615.09,0
Topic164213,5,1,5,0.37,0.0,0.39,1,5,1,32491.53,0
Topic164214,4,2,4,0.5,0.22,0.51,2,4,2,6502.08,0
Topic164219,5,1,5,0.47,0.0,0.48,1,5,1,13403.21,0
Topic164220,2,1,2,0.04,0.0,0.04,1,2,1,1072.0,0
Topic164221,5,1,5,0.46,0.0,0.47,1,5,1,7681.68,0
Topic164223,5,1,5,0.54,0.0,0.55,1,5,1,15959.87,0
Topic164224,3,1,3,0.1,0.0,0.1,1,3,1,21746.4,0
Topic164226,3,1,3,0.25,0.0,0.25,1,3,1,47972.45,0
Topic164350,3,2,3,0.06,0.05,0.07,2,3,2,1661.16,0
Topic164351,3,2,2,0.04,0.04,0.04,2,2,1,3055.3,0
Topic164448,6,2,6,0.44,0.31,0.45,2,6,2,26203.5,0
Topic164491,5,1,5,0.4,0.0,0.42,1,5,1,30049.46,0
Topic164493,5,1,4,0.64,0.0,0.65,1,4,0,5093.64,0
Topic164497,4,2,4,0.43,0.07,0.48,2,4,2,67689.88,0
Topic164500,5,3,5,0.5,0.51,0.45,3,5,3,13787.97,0
Topic164501,5,2,5,0.39,0.38,0.38,2,5,2,47769.05,0
Topic164502,6,1,6,0.49,0.0,0.5,1,6,1,7121.43,0
Topic164505,5,2,5,0.36,0.07,0.39,2,5,2,42487.83,0
Topic164506,6,1,6,0.5,0.0,0.51,1,6,1,15872.17,0
Topic164507,3,2,3,0.14,0.08,0.15,2,3,2,1900.4,0
Topic164508,5,2,5,0.53,0.31,0.54,2,5,2,5387.19,0
Topic164511,5,2,5,0.29,0.07,0.32,2,5,2,8880.74,0
Topic164512,5,2,5,0.51,0.47,0.5,2,5,2,34994.93,0
Topic164513,5,2,5,0.54,0.47,0.49,2,5,2,43997.24,0
Topic164526,5,2,5,0.61,0.47,0.59,2,5,2,17850.08,0
Topic164527,5,2,4,0.57,0.47,0.38,2,4,1,13730.25,0
Topic164529,4,2,4,0.6,0.35,0.52,2,4,2,12536.68,0
Topic164533,4,3,4,0.62,0.62,0.61,3,4,3,12672.25,0
Topic164537,4,4,3,0.67,0.65,0.61,4,3,3,9717.31,0
Topic164545,4,2,4,0.56,0.3,0.58,2,4,2,10025.05,0
Topic164555,6,1,6,0.43,0.0,0.47,1,6,1,19201.3,0
Topic164600,3,2,3,0.13,0.3,0.11,2,3,2,69824.22,0
Topic164607,6,2,5,0.38,0.47,0.26,2,5,1,22125.08,0
Topic164608,5,1,5,0.44,0.0,0.45,1,5,1,10860.11,0
Topic164610,3,1,3,0.63,0.0,0.62,1,3,1,10073.65,0
Topic164621,4,1,4,0.29,0.0,0.3,1,4,1,32471.16,0
Topic164623,2,1,2,0.03,0.0,0.06,1,2,1,99.17,0
Topic164626,4,1,4,0.44,0.0,0.41,1,4,1,57695.02,0
Topic164630,5,1,5,0.29,0.0,0.31,1,5,1,40982.28,0
Topic164640,5,1,5,0.48,0.0,0.5,1,5,1,18660.26,0
Topic164645,6,3,5,0.5,0.31,0.54,3,5,2,4055.68,0
Topic164646,5,1,4,0.68,0.0,0.68,1,4,0,2488.85,0
Topic164650,4,2,4,0.21,0.06,0.23,2,4,2,751.48,0
Topic164655,5,3,5,0.51,0.31,0.53,3,5,3,2272.33,0
Topic164735,5,2,3,0.66,0.26,0.65,2,3,0,6215.43,0
Topic164739,4,2,3,0.63,0.46,0.56,2,3,1,7193.21,0
Topic164740,4,2,4,0.56,0.38,0.57,2,4,2,38367.97,0
Topic164743,3,1,3,0.2,0.0,0.23,1,3,1,63018.7,0
Topic164749,3,2,3,0.59,0.46,0.5,2,3,2,60009.95,0
Topic164752,5,2,5,0.66,0.46,0.66,2,5,2,45360.61,0
Topic164754,3,1,3,0.65,0.0,0.64,1,3,1,5749.56,0
Topic164756,4,1,4,0.58,0.0,0.58,1,4,1,29710.27,0
Topic164757,5,1,5,0.63,0.0,0.67,1,5,1,9199.5,0
Topic164758,5,2,5,0.55,0.38,0.55,2,5,2,12890.35,0
