Topic,KV,KF,KFn,GKV,GKF,GKFn,OKV_KF,OKV_KFn,OKF_KFn,elapsed,Class
Topic164206,4,1,4,0.34,0.0,0.35,1,4,1,13569.79,1
Topic164215,3,1,3,0.09,0.0,0.09,1,3,1,777.51,1
Topic164217,2,1,2,0.05,0.0,0.06,1,2,1,407.59,1
Topic164222,4,1,4,0.44,0.0,0.46,1,4,1,1796.96,1
Topic164225,4,1,4,0.3,0.0,0.33,1,4,1,5388.34,1
Topic164421,2,2,2,0.03,0.05,0.02,2,2,2,114.93,1
Topic164494,4,1,4,0.62,0.0,0.64,1,4,1,1606.92,1
Topic164495,4,1,4,0.54,0.0,0.56,1,4,1,1150.06,1
Topic164509,5,3,5,0.62,0.56,0.62,3,5,3,785.58,1
Topic164520,4,1,4,0.21,0.0,0.21,1,4,1,1548.95,1
Topic164536,3,2,2,0.47,0.64,0.13,2,2,1,2835.24,1
Topic164597,4,1,4,0.23,0.0,0.17,1,4,1,11704.25,1
Topic164598,5,1,5,0.28,0.0,0.29,1,5,1,8158.01,1
Topic164599,3,1,3,0.32,0.0,0.33,1,3,1,5365.07,1
Topic164601,4,1,4,0.4,0.0,0.41,1,4,1,1942.02,1
Topic164602,5,1,5,0.41,0.0,0.42,1,5,1,16170.1,1
Topic164604,4,2,4,0.41,0.25,0.43,2,4,2,1520.03,1
Topic164606,5,2,5,0.53,0.3,0.53,2,5,2,4333.52,1
Topic164611,2,1,2,0.04,0.0,0.04,1,2,1,472.4,1
Topic164612,3,1,3,0.06,0.0,0.07,1,3,1,773.03,1
Topic164613,5,1,5,0.52,0.0,0.52,1,5,1,4316.78,1
Topic164614,3,1,3,0.05,0.0,0.05,1,3,1,2222.62,1
Topic164615,4,1,4,0.31,0.0,0.34,1,4,1,7271.51,1
Topic164617,4,1,4,0.55,0.0,0.53,1,4,1,3510.28,1
Topic164618,4,1,4,0.24,0.0,0.24,1,4,1,8323.45,1
Topic164619,2,1,2,0.03,0.0,0.04,1,2,1,1829.75,1
Topic164620,5,1,5,0.42,0.0,0.43,1,5,1,1802.62,1
Topic164622,3,2,3,0.05,0.06,0.05,2,3,2,153.5,1
Topic164624,5,1,5,0.35,0.0,0.36,1,5,1,12898.33,1
Topic164625,3,1,3,0.06,0.0,0.06,1,3,1,1022.03,1
Topic164628,5,2,5,0.37,0.07,0.4,2,5,2,2330.91,1
Topic164635,4,1,4,0.64,0.0,0.66,1,4,1,3315.97,1
Topic164736,5,2,4,0.56,0.33,0.57,2,4,1,2831.98,1
