Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,F16,F17,Class
Topic147092,791.0,1906,791.0,445470.0,0.34,0.18,0.01,956336,513069.77,0.51,0.12,15361.03,7,0.27088341512085884,1
Topic147100,851.1,1449,851.1,112607.0,0.28,0.14,0.52,6624316,1230080.7,0.51,0.12,3883.0,21,0.06307220177019124,1
Topic148845,1291.33,2544,1291.33,3950.0,0.49,0.24,0.47,10182294,1371985.37,0.61,0.12,136.21,25,0.1987236922211471,1
Topic148846,938.87,612,938.87,8310.0,0.11,0.06,0.11,3089106,1124957.43,0.5,0.12,286.55,23,0.10202793652735317,1
Topic148893,1132.3,2544,1132.3,17824.0,0.49,0.24,0.47,10182294,1121335.0,0.56,0.12,614.62,20,0.1655448371319362,1
Topic149535,343.53,1495,343.53,107058.0,0.28,0.14,0.05,1456556,158591.93,0.26,0.12,3691.66,6,0.01774590325110137,1
Topic149626,785.93,266,785.93,143918.0,0.05,0.03,0.02,1337888,605241.97,0.46,0.12,4962.69,11,0.29818835542850364,1
Topic149634,589.37,759,589.37,320267.0,0.15,0.07,0.01,492970,213784.27,0.42,0.12,11043.69,25,0.18346718140432494,1
Topic149704,653.4,2544,653.4,194708.0,0.49,0.24,0.47,10182294,846191.4,0.42,0.12,6714.07,23,0.048711695709337616,1
Topic318262,1041.9,309,1041.9,12857.0,0.06,0.03,0.0,24034,549597.93,0.44,0.12,443.34,6,0.15072326199667055,1
Topic319107,1039.23,1509,1039.23,10289.0,0.24,0.14,0.0,166571,137734.83,0.41,0.12,354.79,8,0.05743332761489711,1
Topic319186,927.8,1257,927.8,11341.0,0.22,0.12,0.0,135371,73060.27,0.41,0.12,391.07,19,0.07568944725955162,1
Topic319407,843.67,1047,843.67,42542.0,0.15,0.1,0.0,117835,76392.67,0.39,0.12,1466.97,22,0.046818100242049646,1
Topic320332,1122.63,1509,1122.63,14495.0,0.24,0.14,0.0,166571,212153.2,0.52,0.12,499.83,24,0.22633180268091027,1
Topic320587,970.33,3040,970.33,5973.0,0.58,0.29,0.02,719935,67806.03,0.42,0.12,205.97,4,0.05071848108833678,1
Topic320609,1007.97,453,1007.97,5833.0,0.07,0.04,0.0,9106,205794.4,0.49,0.12,201.14,22,0.15286682386507952,1
Topic22231,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,9.15,23,0.09099631559217708,0
Topic22292,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.68,22,0.07032711655829224,0
Topic22664,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,46.05,11,0.1398361369139858,0
Topic22762,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,28.93,28,0.3628011049806221,0
Topic23848,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,250.45,20,0.10816048704501201,0
Topic34769,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,9.15,23,0.09099631559217708,0
Topic34928,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.68,22,0.07032711655829224,0
Topic35301,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,46.05,11,0.1398361369139858,0
Topic35436,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,28.93,28,0.3628011049806221,0
Topic36479,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,250.45,20,0.10816048704501201,0
Topic62863,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,9.15,23,0.09099631559217708,0
Topic63022,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.68,22,0.07032711655829224,0
Topic63395,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,46.05,11,0.1398361369139858,0
Topic63530,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,28.93,28,0.3628011049806221,0
Topic94586,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,9.15,23,0.09099631559217708,0
Topic94745,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.68,22,0.07032711655829224,0
