Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,F16,F17,Class
Topic164215,490.43,894,490.43,20731.85,0.37,0.29,0.17,10464,6163.67,0.69,0.16,714.89,21,0.08047446456701962,1
Topic164222,527.43,1383,527.43,51439.08,0.62,0.45,0.09,27973,6974.37,0.66,0.17,1773.76,18,0.07317476667119811,1
Topic164495,489.73,1828,489.73,40311.3,0.77,0.59,0.41,61399,6788.8,0.78,0.16,1390.04,15,0.1204875210660139,1
Topic164509,458.0,1828,458.0,27112.08,0.77,0.59,0.41,61399,6830.9,0.72,0.17,934.9,27,0.10499033692890006,1
Topic164520,554.97,248,554.97,48625.98,0.09,0.08,0.02,1766,7730.53,0.8,0.16,1676.76,22,0.12746536882382256,1
Topic164536,394.6,1828,394.6,111011.6,0.77,0.59,0.41,61399,7740.23,0.75,0.17,3827.99,23,0.08700278370896719,1
Topic164597,430.9,481,430.9,285418.03,0.22,0.16,0.03,11606,4840.6,0.62,0.18,9842.0,11,0.10222311703384357,1
Topic164598,493.5,758,493.5,198803.23,0.41,0.25,0.04,12517,5804.2,0.64,0.18,6855.28,22,0.061626755642005995,1
Topic164599,478.5,758,478.5,135708.25,0.41,0.25,0.04,12517,5385.83,0.7,0.18,4679.59,23,0.08052538455937489,1
Topic164601,628.87,1383,628.87,59411.9,0.62,0.45,0.09,27973,7810.47,0.75,0.16,2048.69,21,0.10193722667719454,1
Topic164604,575.83,809,575.83,41270.93,0.33,0.26,0.17,14068,7013.07,0.76,0.16,1423.14,24,0.09050575161522312,1
Topic164611,500.83,248,500.83,12028.15,0.09,0.08,0.02,1766,6263.4,0.7,0.15,414.76,25,0.09162926526140187,1
Topic164612,605.2,711,605.2,20639.6,0.31,0.23,0.07,9301,8136.73,0.8,0.15,711.71,24,0.11846089512671364,1
Topic164620,603.1,1383,603.1,59394.77,0.62,0.45,0.09,27973,7215.77,0.7,0.17,2048.1,25,0.11877308817712164,1
Topic164622,475.73,894,475.73,4477.55,0.37,0.29,0.17,10464,6945.93,0.79,0.17,154.4,25,0.1488897336206039,1
Topic164625,483.97,268,483.97,27132.98,0.13,0.09,0.02,2676,7336.9,0.8,0.16,935.62,22,0.16272032511542647,1
Topic164744,549.77,1828,549.77,82823.95,0.77,0.59,0.41,61399,8466.2,0.75,0.16,2856.0,21,0.10414802689608914,1
Topic164746,545.63,1828,545.63,143175.32,0.77,0.59,0.41,61399,9344.9,0.74,0.17,4937.08,18,0.11618881286597621,1
Topic164748,554.8,1828,554.8,20322.52,0.77,0.59,0.41,61399,8305.77,0.79,0.17,700.78,24,0.08313710071535436,1
Topic164827,599.77,208,599.77,103688.2,0.08,0.07,0.05,3472,7554.1,0.75,0.16,3575.46,24,0.09374885383464948,1
Topic164828,303.43,548,303.43,33886.1,0.38,0.18,0.02,14510,4022.03,0.34,0.17,1168.49,22,0.03508436693873378,1
Topic164830,442.57,1828,442.57,64795.25,0.77,0.59,0.41,61399,6674.57,0.72,0.17,2234.32,23,0.08489721872980595,1
Topic164832,507.63,1193,507.63,36565.58,0.45,0.39,0.42,27505,7167.8,0.72,0.15,1260.88,9,0.08843160894451388,1
Topic164835,420.37,1193,420.37,7755.27,0.45,0.39,0.42,27505,4881.9,0.62,0.15,267.42,27,0.10387744486695541,1
Topic164837,524.97,1193,524.97,51864.63,0.45,0.39,0.42,27505,6528.97,0.7,0.16,1788.44,10,0.14482403382265785,1
Topic164843,489.6,548,489.6,41609.73,0.38,0.18,0.02,14510,6667.03,0.7,0.18,1434.82,20,0.13906870691168075,1
Topic164844,520.67,1161,520.67,125092.7,0.52,0.38,0.16,17265,5638.57,0.73,0.15,4313.54,23,0.1451582758281565,1
Topic165204,404.03,655,404.03,19995.4,0.24,0.21,0.1,9809,5435.6,0.69,0.15,689.5,11,0.10195406493520262,1
Topic165208,228.57,523,228.57,23995.5,0.19,0.17,0.12,8892,2907.3,0.41,0.14,827.43,12,0.0681022062462262,1
Topic166114,454.5,359,454.5,50451.22,0.12,0.12,0.03,5285,4827.0,0.64,0.16,1739.7,15,0.09407658080913818,1
Topic164146,581.43,1828,581.43,178698.15,0.77,0.59,0.41,61399,9628.8,0.86,0.18,6162.01,21,0.16284455598144493,0
Topic164204,521.3,478,521.3,107693.85,0.19,0.15,0.03,4048,6857.23,0.73,0.15,3713.58,24,0.07305060340454429,0
Topic164206,529.0,1383,529.0,368836.32,0.62,0.45,0.09,27973,6114.07,0.69,0.17,12718.49,19,0.09249274984702932,0
Topic164214,549.17,758,549.17,1647510.23,0.41,0.25,0.04,12517,7427.0,0.77,0.18,56810.7,17,0.07523109558404029,0
Topic164217,384.3,894,384.3,13071.73,0.37,0.29,0.17,10464,5100.3,0.67,0.15,450.75,26,0.14140587942879068,0
Topic164219,299.4,199,299.4,493116.48,0.07,0.06,0.01,1665,3210.77,0.44,0.19,17004.02,17,0.040997851303293316,0
Topic164220,462.37,711,462.37,1458954.22,0.31,0.23,0.07,9301,7189.93,0.79,0.17,50308.77,20,0.12145903656079074,0
Topic164223,432.77,1383,432.77,1532468.82,0.62,0.45,0.09,27973,5238.13,0.71,0.18,52843.75,20,0.10601112983561234,0
Topic164224,490.47,1383,490.47,1190986.75,0.62,0.45,0.09,27973,6036.27,0.66,0.18,41068.51,20,0.0800268099687647,0
Topic164225,443.53,758,443.53,158975.55,0.41,0.25,0.04,12517,5401.13,0.7,0.18,5481.92,18,0.05094562983106135,0
Topic164226,503.87,1383,503.87,1190518.13,0.62,0.45,0.09,27973,7042.8,0.72,0.17,41052.35,25,0.09307970827273845,0
Topic164350,430.67,192,430.67,45694.37,0.08,0.06,0.07,4091,5760.4,0.7,0.16,1575.67,22,0.07576584775975405,0
Topic164351,384.1,1193,384.1,109192.95,0.45,0.39,0.42,27505,5924.6,0.72,0.16,3765.27,12,0.08845410820046033,0
Topic164421,340.9,1193,340.9,3814.47,0.45,0.39,0.42,27505,4960.43,0.63,0.15,131.53,9,0.10062215299687155,0
Topic164493,529.17,1828,529.17,234062.88,0.77,0.59,0.41,61399,7476.3,0.78,0.17,8071.13,22,0.12696987769037196,0
Topic164494,528.53,1828,528.53,46711.93,0.77,0.59,0.41,61399,7458.8,0.77,0.17,1610.76,16,0.11208528412149177,0
Topic164500,221.67,141,221.67,1013368.3,0.09,0.05,0.0,1532,2350.57,0.52,0.18,34943.73,22,0.09805789948219572,0
Topic164501,335.37,944,335.37,1351700.48,0.47,0.31,0.06,19394,4249.9,0.55,0.19,46610.36,20,0.11238731693182769,0
Topic164502,477.0,758,477.0,193015.6,0.41,0.25,0.04,12517,6820.77,0.76,0.18,6655.71,24,0.10071044602356935,0
Topic164506,461.17,1828,461.17,468539.33,0.77,0.59,0.41,61399,6415.97,0.77,0.17,16156.53,25,0.10517285778638737,0
Topic164507,609.07,39,609.07,59533.9,0.01,0.01,0.0,65,9586.87,0.83,0.17,2052.89,24,0.10634908033035304,0
Topic164508,358.4,548,358.4,211140.12,0.38,0.18,0.02,14510,4302.8,0.52,0.18,7280.69,16,0.11453454684049176,0
Topic164511,610.1,662,610.1,479312.37,0.24,0.21,0.05,7795,7611.8,0.81,0.17,16528.01,13,0.0773991513065384,0
Topic164513,460.03,784,460.03,1237631.77,0.34,0.25,0.05,10789,5346.53,0.68,0.18,42676.96,21,0.11931743070985454,0
Topic164527,233.13,481,233.13,563265.27,0.22,0.16,0.03,11606,3189.37,0.56,0.17,19422.94,13,0.07937386798872614,0
Topic164529,328.63,1828,328.63,381088.33,0.77,0.59,0.41,61399,5978.67,0.76,0.17,13140.98,19,0.08550227282930313,0
Topic164533,307.37,1193,307.37,551255.6,0.45,0.39,0.42,27505,4423.93,0.75,0.17,19008.81,23,0.061789630524777164,0
Topic164537,401.43,1828,401.43,286365.15,0.77,0.59,0.41,61399,7449.07,0.76,0.17,9874.66,19,0.07688624580018653,0
Topic164545,362.07,481,362.07,285512.7,0.22,0.16,0.03,11606,5580.57,0.66,0.17,9845.27,25,0.05637400342598255,0
Topic164602,465.57,1383,465.57,551962.13,0.62,0.45,0.09,27973,6031.33,0.72,0.18,19033.18,24,0.08769086595929385,0
